,0,1
0,.,35510545
1,",",19678129
2,',11096689
3,!,4641524
4,-,3154390
5,(,2040996
6,"""",1605218
7,...,1219153
8,$,1079932
9,),1032210
10,/,885772
11,:,883037
12,?,631652
13,&,569284
14,).,564973
15,!!,491043
16,..,371648
17,!!!,323907
18,....,269993
19,"),",260235
20,;,257116
21,é,211831
22,--,191398
23,""".",122087
24,:),120686
25,%,111635
26,".""",110755
27,*,107531
28,+,102775
29,!!!!,90888
30,($,74333
31,.....,67170
32,!),66158
33,.),63644
34,#,61676
35,?!,39355
36,""",",39110
37,"?""",37790
38,=,37062
39,è,35680
40,??,34198
41,à,31046
42,!).,29313
43,!!!!!,28865
44,"!""",27235
45,?),26631
46,???,24878
47,ñ,22170
48,......,21589
49,:(,21564
50,",""",20742
51,://,19328
52,;),19142
53,@,18544
54,".,",17662
55,~,17528
56,_,17148
57,**,16821
58,---,15689
59,-$,15279
60,'.,14762
61,"!),",14327
62,ê,13412
63,û,13179
64,:-),12729
65,)!,12434
66,[,12372
67,):,11389
68,***,11126
69,!!!!!!,10816
70,)...,9196
71,?).,8956
72,.......,8768
73,$.,8549
74,!?,8292
75,ç,8069
76,],7877
77,"""...",7462
78,...),6963
79,????,6680
80,"...""",6554
81,é.,6489
82,?!?,6422
83,'é,6386
84,"',",6385
85,=),6207
86,.',6183
87,$$,5790
88,);,5489
89,%.,5420
90,"é,",5414
91,ô,5401
92,!.,5315
93,!!!!!!!,5125
94,.).,4900
95,"""!",4811
96,!!),4799
97,?!?!,4742
98,(?),4591
99,"?),",4423
100,""")",4397
101,+.,4348
102,........,4267
103,:).,4263
104,ü,4262
105,:/,4116
106,â,3926
107,$$$,3795
108,í,3750
109,"""?",3731
110,"(""",3712
111,~$,3711
112,ä,3568
113,",,",3445
114,****,3333
115,;-),3262
116,"?"".",3059
117,á,3031
118,`,2910
119,​,2856
120,ó,2836
121,.(,2794
122,)-,2707
123,...).,2663
124,î,2661
125,.!,2640
126,!!!!!!!!,2638
127,|,2613
128,""").",2501
129,*****,2480
130,)..,2424
131,(:,2393
132,!!!),2385
133,\,2362
134,.........,2359
135,'',2318
136,*.,2289
137,----,2215
138,".),",2213
139,!...,2198
140,:-(,2188
141,?????,2136
142,"!"".",2124
143,"!,",2109
144,"""....",2069
145,ö,1985
146,"$,",1945
147,!?!,1903
148,"%,",1886
149,...?,1878
150,ù,1851
151,)....,1842
152,++,1816
153,?!!,1792
154,(#,1778
155,!!!!!!!!!,1754
156,!!).,1751
157,"?!""",1727
158,?!),1724
159,",,,",1716
160,",.",1688
161,??),1655
162,?...,1640
163,)?,1638
164,"""-",1630
165,...(,1531
166,+++,1529
167,"!!""",1525
168,].,1521
169,..........,1516
170,",)",1501
171,"""..",1487
172,..),1485
173,(~$,1480
174,"+,",1461
175,::,1454
176,/$,1445
177,{,1422
178,...$,1412
179,$$.,1329
180,?!?!?,1318
181,À,1317
182,(!),1296
183,"....""",1289
184,??!!,1285
185,‍,1276
186,(&,1268
187,:-,1256
188,$$$$,1242
189,?',1237
190,"..""",1236
191,É,1235
192,:(.,1217
193,"""),",1210
194,'!,1208
195,"""$",1200
196,$$$.,1199
197,:)),1180
198,",'",1176
199,...!,1172
200,!!!!!!!!!!,1126
201,!',1119
202,"?"",",1117
203,//,1117
204,!..,1091
205,=(,1088
206,!?!?,1086
207,°,1077
208,，,1056
209,...........,1053
210,é!,1048
211,",...",1039
212,)!!,1035
213,"...),",1034
214,.-,1032
215,éç,1029
216,"!!!""",1024
217,"?,",1021
218,ú,1015
219,+),1001
220,$),995
221,"*,",978
222,;).,960
223,??!,944
224,(+,916
225,(~,915
226,(*,905
227,'...,905
228,é',898
229,""";",887
230,œ,877
231,)--,873
232,},859
233,!!.,857
234,?!!!,851
235,",(",850
236,""":",844
237,"!!),",839
238,.],831
239,+$,820
240,Ç,820
241,!!!).,816
242,?!?!?!,814
243,"],",808
244,"??""",804
245,....),797
246,.*,797
247,..!,771
248,!!!!!!!!!!!,769
249,ß,762
250,(?).,760
251,???),759
252,'ê,758
253,'),754
254,:],749
255,:-/,745
256,",..",731
257,?!).,731
258,！,721
259,............,719
260,??????,715
261,-----,714
262,?.,712
263,??).,708
264,"..,",707
265,-(,703
266,!!!.,694
267,.!!,693
268,(-,679
269,'à,673
270,.?,672
271,******,672
272,-_-,666
273,:-).,659
274,ï,658
275,"."".",654
276,)),647
277,)!!!,644
278,..?,642
279,%!,635
280,!....,631
281,^_^,628
282,"!"",",611
283,*),609
284,"-""",606
285,"""!!",602
286,%),602
287,.!!!,601
288,å,599
289,"...,",596
290,-.,595
291,"""--",592
292,.:,589
293,""".....",582
294,¢,577
295,~~,576
296,++++,572
297,"(?),",572
298,!!!!!!!!!!!!,569
299,~!,567
300,-ê,566
301,",,,,",564
302,+!,561
303,..(,553
304,$!,552
305,·,551
306,!!..,549
307,!)...,541
308,((,532
309,"""!!!",521
310,=],515
311,ë,502
312,":""",498
313,$).,491
314,ã,482
315,.............,480
316,!!!!),477
317,")""",476
318,=/,474
319,?..,470
320,'-,468
321,:)!,466
322,!!!!!!!!!!!!!,465
323,!:),465
324,"."")",461
325,(+$,460
326,"""(",457
327,!?!?!,456
328,^^,455
329,&&,454
330,?....,453
331,'?,448
332,(+),446
333,....(,440
334,#.,433
335,!!...,432
336,!*,431
337,(@,429
338,$/,426
339,!!??,421
340,).....,420
341,"!!!),",417
342,.**,416
343,(',413
344,..).,410
345,(...,407
346,^,406
347,').,406
348,....$,393
349,"$$,",390
350,;(,390
351,"(!),",387
352,!-,385
353,"?!),",383
354,???!!!,381
355,!!!...,379
356,®,377
357,=$,373
358,!],370
359,??!!!,368
360,"..."".",367
361,+++++,364
362,..!!,363
363,?:,363
364,"!?""",362
365,é/,361
366,(!!!),361
367,é-,361
368,$$$$.,360
369,‼,359
370,"à,",358
371,..............,357
372,"???""",353
373,+).,353
374,"""""",352
375,**.,348
376,ò,347
377,!(,346
378,!!!!!!!!!!!!!!,340
379,--$,338
380,!??,336
381,...',331
382,*:,331
383,(!!),331
384,é...,331
385,!!?,330
386,:))),328
387,???????,325
388,+/,323
389,)).,323
390,------,322
391,".....""",321
392,",....",320
393,.;,319
394,....?,317
395,.***,317
396,!!',313
397,"-,",310
398,!?),309
399,-),306
400,:'(,304
401,%-,304
402,"??),",299
403,"#,",298
404,$$$$$,295
405,???).,294
406,*).,291
407,​.,288
408,%).,287
409,~~~,286
410,...............,285
411,...!!!,285
412,[$,284
413,*******,282
414,+/-,281
415,./,281
416,«,281
417,"""/",280
418,™,280
419,"!"")",278
420,",&",276
421,++.,276
422,!);,274
423,$...,272
424,"$$$,",272
425,==,271
426,***.,271
427,"!!,",270
428,"?""...",268
429,.:),267
430,=).,267
431,"!!!!""",267
432,!)!,266
433,ō,263
434,(.,262
435,(?,262
436,"""'",262
437,"$),",262
438,à.,260
439,"'""",255
440,....!,255
441,(-),254
442,!!!!!!!!!!!!!!!,250
443,....).,250
444,...&,248
445,&/,247
446,ì,247
447,ı,247
448,!!!!.,246
449,´,245
450,;)),244
451,.--,243
452,?!?!?!?,243
453,!--,242
454,"+),",234
455,é),234
456,@$,231
457,...*,229
458,'....,226
459,@$$,225
460,?!?),225
461,__,225
462,$-,225
463,"!!!,",224
464,%+,224
465,/.,223
466,)(,223
467,(??),218
468,(!).,218
469,?)...,218
470,"?"")",216
471,:/.,216
472,"."",",216
473,":),",215
474,"/""",215
475,.$,214
476,(;,214
477,"--""",212
478,-',210
479,?!!!!,210
480,'..,210
481,...!!,209
482,"""......",209
483,:::,209
484,¡,208
485,"'),",208
486,................,208
487,$+,208
488,"?!?""",207
489,/),207
490,!!!!!!!!!!!!!!!!,206
491,?-,206
492,!.....,206
493,;-).,204
494,",,,,,",204
495,':,201
496,(???),201
497,';,201
498,-------,201
499,.!!!!,200
500,!?!?!?,199
501,_____,196
502,").""",195
503,!**,194
504,.................,194
505,!:,194
506,???!,192
507,!~,191
508,à-,190
509,+++.,188
510,___,187
511,..$,186
512,)/,184
513,"é""",183
514,!!!!!!!!!!!!!!!!!,183
515,*...,180
516,/?,179
517,*!,179
518,**********,179
519,:-(.,179
520,Ü,178
521,++++++,178
522,********,176
523,..!!!,175
524,»,175
525,-.-,174
526,]:,174
527,????????,172
528,=-,172
529,%...,171
530,?'.,169
531,×,168
532,}.,168
533,!???,166
534,"""!!!!",166
535,:)).,165
536,:\,165
537,"""??",165
538,____,165
539,"..),",164
540,?.....,163
541,???!!,162
542,?!!?,162
543,$$!,160
544,",$",160
545,(=,160
546,"!""...",159
547,...:),158
548,!!!!!),158
549,:-)),156
550,:)...,155
551,"​,",155
552,"....,",154
553,。,153
554,?],153
555,($.,153
556,",-",152
557,!!!???,152
558,.....),152
559,é:,149
560,:.,149
561,****.,149
562,$?,148
563,-__-,148
564,!!!',148
565,(),147
566,=\,146
567,(?!),146
568,!!!..,146
569,!!!....,146
570,...??,145
571,"""???",145
572,.....(,145
573,?!??,144
574,")"".",144
575,"...?""",143
576,""".)",143
577,#',140
578,";""",139
579,''.,137
580,*********,137
581,----------,137
582,!***,137
583,?!?!),136
584,!!!!).,136
585,!):,135
586,"!"").",135
587,-à-,134
588,/-,134
589,...???,134
590,?!?!?!?!,134
591,!!!!!!!!!!!!!!!!!!,134
592,‍.,134
593,"!!"".",133
594,:((,131
595,'œ,131
596,"""#",131
597,)!!!!,131
598,--------,130
599,"*),",130
600,????),130
601,*$,130
602,=_,130
603,;-,129
604,é).,129
605,:$,128
606,!!:),128
607,..:,127
608,"..."",",127
609,È,127
610,"?!?!""",127
611,.},126
612,(à,126
613,"**,",125
614,%?,125
615,)......,125
616,?--,125
617,+...,123
618,"%),",122
619,*(,122
620,!?).,121
621,??!?,121
622,$!!,121
623,"""?!",120
624,(**,118
625,??...,117
626,!!???,117
627,:|,117
628,*',116
629,%!!!,116
630,!;,116
631,¯\_(ツ)_/¯,116
632,.....$,115
633,:'),115
634,",!",115
635,]),115
636,"""):",115
637,)',114
638,$!!!,113
639,.....?,113
640,##,113
641,"???),",112
642,?!?).,111
643,;],111
644,??.,111
645,$',111
646,"""?)",111
647,...?),111
648,---------,111
649,―,109
650,!!!?,109
651,%!!,107
652,||,107
653,:[,107
654,))),106
655,???!!!!,106
656,!'.,106
657,!!....,106
658,é?,105
659,""".......",105
660,"(!!!),",104
661,!)..,104
662,"&,",104
663,'!!,103
664,:):),102
665,~!!,102
666,``,102
667,!!!!!!!!!!!!!!!!!!!,101
668,"?!"".",101
669,!!!!!!!!!!!!!!!!!!!!!,101
670,???.,101
671,$$$!,101
672,çã,100
673,?!?!!,100
674,")),",100
675,..??,100
676,ø,100
677,éâ,99
678,..&,99
679,~!!!,99
680,/:,99
681,?)!,98
682,$..,98
683,"%""",98
684,------------,97
685,=[,97
686,*************,97
687,à!,96
688,-----------,96
689,...................,96
690,"?""....",96
691,***********,95
692,!??!,95
693,",​",95
694,!!!!!!!!!!!!!!!!!!!!,94
695,",.....",94
696,"?"").",94
697,!!!!!.,94
698,?(,94
699,..................,94
700,)*,94
701,)---,93
702,"+""",93
703,...:,93
704,"!!!!!""",92
705,.??,92
706,"......""",92
707,?????????,91
708,-------------,91
709,(((,90
710,"***,",90
711,]).,90
712,!?!?!?!,90
713,..:),89
714,???...,89
715,+++++++,89
716,...#,89
717,-----------------------------------------­­­­­­­­­­­­­­­­-------------------,89
718,$$),88
719,".,,",88
720,öß,88
721,--------------,88
722,$....,87
723,!(:,87
724,-/,87
725,!!!!!!!!!!!!!!!!!!!!!!,87
726,///,86
727,º,86
728,"},",86
729,°.,85
730,===,85
731,¼,85
732,"!!!!,",85
733,.....................,85
734,...:(,85
735,@#,84
736,(???).,84
737,^.^,84
738,?):,84
739,$$$$$.,83
740,"""...""",83
741,....................,83
742,"í,",83
743,(/,83
744,:)))),83
745,:},82
746,--(,82
747,é;,82
748,-&-,82
749,"""[",81
750,"!!!"".",81
751,$&,81
752,.....!,81
753,::::,81
754,*-,81
755,------------------------------------------,81
756,*#,81
757,ş,81
758,.!!!!!,80
759,'/,80
760,************,80
761,"*""",80
762,(!!!).,80
763,!!(,80
764,/).,80
765,!)-,79
766,+!!!,79
767,'!!!,79
